date,equal_weight_available,lagged_tvl_weighted,capped_lagged_tvl_weighted,category_balanced,retrospective_common_history,forward_7d_equal_weight_available,label_7d_equal_weight_available,forward_7d_lagged_tvl_weighted,label_7d_lagged_tvl_weighted,forward_7d_capped_lagged_tvl_weighted,label_7d_capped_lagged_tvl_weighted,forward_7d_category_balanced,label_7d_category_balanced,forward_7d_retrospective_common_history,label_7d_retrospective_common_history
2021-05-28,,,,,,,,,,,,,,,
2021-05-29,,,,,,,,,,,,,,,
2021-05-30,,,,,,,,,,,,,,,
2021-05-31,,,,,,,,,,,,,,,
2021-06-01,,,,,,,,,,,,,,,
2021-06-02,,,,,,,,,,,,,,,
2021-06-03,,,,,,,,,,,,,,,
2021-06-04,,,,,,,,,,,,,,,
2021-06-05,,,,,,,,,,,,,,,
2021-06-06,,,,,,,,,,,,,,,
2021-06-07,,,,,,,,,,,,,,,
2021-06-08,,,,,,,,,,,,,,,
2021-06-09,,,,,,,,,,,,,,,
2021-06-10,,,,,,,,,,,,,,,
2021-06-11,,,,,,,,,,,,,,,
2021-06-12,,,,,,,,,,,,,,,
2021-06-13,,,,,,,,,,,,,,,
2021-06-14,,,,,,,,,,,,,,,
2021-06-15,,,,,,,,,,,,,,,
2021-06-16,,,,,,,,,,,,,,,
2021-06-17,,,,,,,,,,,,,,,
2021-06-18,,,,,,,,,,,,,,,
2021-06-19,,,,,,,,,,,,,,,
2021-06-20,,,,,,,,,,,,,,,
2021-06-21,,,,,,,,,,,,,,,
2021-06-22,,,,,,,,,,,,,,,
2021-06-23,,,,,,,,,,,,,,,
2021-06-24,,,,,,,,,,,,,,,
2021-06-25,,,,,,,,,,,,,,,
2021-06-26,,,,,,,,,,,,,,,
2021-06-27,,,,,,,,,,,,,,,
2021-06-28,,,,,,,,,,,,,,,
2021-06-29,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,
2021-07-01,,,,,,,,,,,,,,,
2021-07-02,,,,,,,,,,,,,,,
2021-07-03,,,,,,,,,,,,,,,
2021-07-04,,,,,,,,,,,,,,,
2021-07-05,,,,,,,,,,,,,,,
2021-07-06,,,,,,,,,,,,,,,
2021-07-07,,,,,,,,,,,,,,,
2021-07-08,,,,,,,,,,,,,,,
2021-07-09,,,,,,,,,,,,,,,
2021-07-10,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,,,
2021-07-12,,,,,,,,,,,,,,,
2021-07-13,,,,,,,,,,,,,,,
2021-07-14,,,,,,,,,,,,,,,
2021-07-15,,,,,,,,,,,,,,,
2021-07-16,,,,,,,,,,,,,,,
2021-07-17,,,,,,,,,,,,,,,
2021-07-18,,,,,,,,,,,,,,,
2021-07-19,,,,,,,,,,,,,,,
2021-07-20,,,,,,,,,,,,,,,
2021-07-21,,,,,,,,,,,,,,,
2021-07-22,,,,,,,,,,,,,,,
2021-07-23,,,,,,,,,,,,,,,
2021-07-24,,,,,,,,,,,,,,,
2021-07-25,,,,,,,,,,,,,,,
2021-07-26,,,,,,,,,,,,,,,
2021-07-27,,,,,,,,,,,,,,,
2021-07-28,,,,,,,,,,,,,,,
2021-07-29,,,,,,,,,,,,,,,
2021-07-30,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,
2021-08-01,,,,,,,,,,,,,,,
2021-08-02,,,,,,,,,,,,,,,
2021-08-03,,,,,,,,,,,,,,,
2021-08-04,,,,,,,,,,,,,,,
2021-08-05,,,,,,,,,,,,,,,
2021-08-06,,,,,,,,,,,,,,,
2021-08-07,,,,,,,,,,,,,,,
2021-08-08,,,,,,,,,,,,,,,
2021-08-09,,,,,,,,,,,,,,,
2021-08-10,,,,,,,,,,,,,,,
2021-08-11,,,,,,,,,,,,,,,
2021-08-12,,,,,,,,,,,,,,,
2021-08-13,,,,,,,,,,,,,,,
2021-08-14,,,,,,,,,,,,,,,
2021-08-15,,,,,,,,,,,,,,,
2021-08-16,,,,,,,,,,,,,,,
2021-08-17,,,,,,,,,,,,,,,
2021-08-18,,,,,,,,,,,,,,,
2021-08-19,,,,,,,,,,,,,,,
2021-08-20,,,,,,,,,,,,,,,
2021-08-21,,,,,,,,,,,,,,,
2021-08-22,,,,,,,,,,,,,,,
2021-08-23,,,,,,,,,,,,,,,
2021-08-24,,,,,,,,,,,,,,,
2021-08-25,,,,,,,,,,,,,,,
2021-08-26,,,,,,,,,,,,,,,
2021-08-27,,,,,,,,,,,,,,,
2021-08-28,,,,,,,,,,,,,,,
2021-08-29,,,,,,,,,,,,,,,
2021-08-30,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,,
2021-09-01,,,,,,,,,,,,,,,
2021-09-02,,,,,,,,,,,,,,,
2021-09-03,,,,,,,,,,,,,,,
2021-09-04,,,,,,,,,,,,,,,
2021-09-05,,,,,,,,,,,,,,,
2021-09-06,,,,,,,,,,,,,,,
2021-09-07,,,,,,,,,,,,,,,
2021-09-08,,,,,,,,,,,,,,,
2021-09-09,,,,,,,,,,,,,,,
2021-09-10,,,,,,,,,,,,,,,
2021-09-11,,,,,,,,,,,,,,,
2021-09-12,,,,,,,,,,,,,,,
2021-09-13,,,,,,,,,,,,,,,
2021-09-14,,,,,,,,,,,,,,,
2021-09-15,,,,,,,,,,,,,,,
2021-09-16,,,,,,,,,,,,,,,
2021-09-17,,,,,,,,,,,,,,,
2021-09-18,,,,,,,,,,,,,,,
2021-09-19,,,,,,,,,,,,,,,
2021-09-20,,,,,,,,,,,,,,,
2021-09-21,,,,,,,,,,,,,,,
2021-09-22,,,,,,,,,,,,,,,
2021-09-23,,,,,,,,,,,,,,,
2021-09-24,,,,,,,,,,,,,,,
2021-09-25,,,,,,,,,,,,,,,
2021-09-26,,,,,,,,,,,,,,,
2021-09-27,,,,,,,,,,,,,,,
2021-09-28,,,,,,,,,,,,,,,
2021-09-29,,,,,,,,,,,,,,,
2021-09-30,,,,,,,,,,,,,,,
2021-10-01,,,,,,,,,,,,,,,
2021-10-02,,,,,,,,,,,,,,,
2021-10-03,,,,,,,,,,,,,,,
2021-10-04,,,,,,,,,,,,,,,
2021-10-05,,,,,,,,,,,,,,,
2021-10-06,,,,,,,,,,,,,,,
2021-10-07,,,,,,,,,,,,,,,
2021-10-08,,,,,,,,,,,,,,,
2021-10-09,,,,,,,,,,,,,,,
2021-10-10,,,,,,,,,,,,,,,
2021-10-11,,,,,,,,,,,,,,,
2021-10-12,,,,,,,,,,,,,,,
2021-10-13,,,,,,,,,,,,,,,
2021-10-14,,,,,,,,,,,,,,,
2021-10-15,,,,,,,,,,,,,,,
2021-10-16,,,,,,,,,,,,,,,
2021-10-17,,,,,,,,,,,,,,,
2021-10-18,,,,,,,,,,,,,,,
2021-10-19,,,,,,,,,,,,,,,
2021-10-20,,,,,,,,,,,,,,,
2021-10-21,,,,,,,,,,,,,,,
2021-10-22,,,,,,,,,,,,,,,
2021-10-23,,,,,,,,,,,,,,,
2021-10-24,,,,,,,,,,,,,,,
2021-10-25,,,,,,,,,,,,,,,
2021-10-26,,,,,,,,,,,,,,,
2021-10-27,,,,,,,,,,,,,,,
2021-10-28,,,,,,,,,,,,,,,
2021-10-29,,,,,,,,,,,,,,,
2021-10-30,,,,,,,,,,,,,,,
2021-10-31,,,,,,,,,,,,,,,
2021-11-01,,,,,,,,,,,,,,,
2021-11-02,,,,,,,,,,,,,,,
2021-11-03,,,,,,,,,,,,,,,
2021-11-04,,,,,,,,,,,,,,,
2021-11-05,,,,,,,,,,,,,,,
2021-11-06,,,,,,,,,,,,,,,
2021-11-07,,,,,,,,,,,,,,,
2021-11-08,,,,,,,,,,,,,,,
2021-11-09,,,,,,,,,,,,,,,
2021-11-10,,,,,,,,,,,,,,,
2021-11-11,,,,,,,,,,,,,,,
2021-11-12,,,,,,,,,,,,,,,
2021-11-13,,,,,,,,,,,,,,,
2021-11-14,,,,,,,,,,,,,,,
2021-11-15,,,,,,,,,,,,,,,
2021-11-16,,,,,,,,,,,,,,,
2021-11-17,,,,,,,,,,,,,,,
2021-11-18,,,,,,,,,,,,,,,
2021-11-19,,,,,,,,,,,,,,,
2021-11-20,,,,,,,,,,,,,,,
2021-11-21,,,,,,,,,,,,,,,
2021-11-22,,,,,,,,,,,,,,,
2021-11-23,,,,,,,,,,,,,,,
2021-11-24,,,,,,,,,,,,,,,
2021-11-25,,,,,,,,,,,,,,,
2021-11-26,,,,,,,,,,,,,,,
2021-11-27,,,,,,,,,,,,,,,
2021-11-28,,,,,,,,,,,,,,,
2021-11-29,,,,,,,,,,,,,,,
2021-11-30,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,
2021-12-02,,,,,,,,,,,,,,,
2021-12-03,,,,,,,,,,,,,,,
2021-12-04,,,,,,,,,,,,,,,
2021-12-05,,,,,,,,,,,,,,,
2021-12-06,,,,,,,,,,,,,,,
2021-12-07,,,,,,,,,,,,,,,
2021-12-08,,,,,,,,,,,,,,,
2021-12-09,,,,,,,,,,,,,,,
2021-12-10,,,,,,,,,,,,,,,
2021-12-11,,,,,,,,,,,,,,,
2021-12-12,,,,,,,,,,,,,,,
2021-12-13,,,,,,,,,,,,,,,
2021-12-14,,,,,,,,,,,,,,,
2021-12-15,,,,,,,,,,,,,,,
2021-12-16,,,,,,,,,,,,,,,
2021-12-17,,,,,,,,,,,,,,,
2021-12-18,,,,,,,,,,,,,,,
2021-12-19,,,,,,,,,,,,,,,
2021-12-20,,,,,,,,,,,,,,,
2021-12-21,,,,,,,,,,,,,,,
2021-12-22,,,,,,,,,,,,,,,
2021-12-23,,,,,,,,,,,,,,,
2021-12-24,,,,,,,,,,,,,,,
2021-12-25,,,,,,,,,,,,,,,
2021-12-26,,,,,,,,,,,,,,,
2021-12-27,,,,,,,,,,,,,,,
2021-12-28,,,,,,,,,,,,,,,
2021-12-29,,,,,,,,,,,,,,,
2021-12-30,,,,,,,,,,,,,,,
2021-12-31,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,
2022-01-02,,,,,,,,,,,,,,,
2022-01-03,,,,,,,,,,,,,,,
2022-01-04,,,,,,,,,,,,,,,
2022-01-05,,,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,,,,
2022-01-07,,,,,,,,,,,,,,,
2022-01-08,,,,,,,,,,,,,,,
2022-01-09,,,,,,,,,,,,,,,
2022-01-10,,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,,,,
2022-01-12,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,,,,,,,
2022-01-15,,,,,,,,,,,,,,,
2022-01-16,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,,,,,,,
2022-01-18,,,,,,,,,,,,,,,
2022-01-19,,,,,,,,,,,,,,,
2022-01-20,,,,,,,,,,,,,,,
2022-01-21,,,,,,,,,,,,,,,
2022-01-22,,,,,,,,,,,,,,,
2022-01-23,,,,,,,,,,,,,,,
2022-01-24,,,,,,,,,,,,,,,
2022-01-25,,,,,,,,,,,,,,,
2022-01-26,,,,,,,,,,,,,,,
2022-01-27,,,,,,,,,,,,,,,
2022-01-28,,,,,,,,,,,,,,,
2022-01-29,,,,,,,,,,,,,,,
2022-01-30,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,
2022-02-01,,,,,,,,,,,,,,,
2022-02-02,,,,,,,,,,,,,,,
2022-02-03,,,,,,,,,,,,,,,
2022-02-04,,,,,,,,,,,,,,,
2022-02-05,,,,,,,,,,,,,,,
2022-02-06,,,,,,,,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,
2022-02-08,,,,,,,,,,,,,,,
2022-02-09,,,,,,,,,,,,,,,
2022-02-10,,,,,,,,,,,,,,,
2022-02-11,,,,,,,,,,,,,,,
2022-02-12,,,,,,,,,,,,,,,
2022-02-13,,,,,,,,,,,,,,,
2022-02-14,,,,,,,,,,,,,,,
2022-02-15,,,,,,,,,,,,,,,
2022-02-16,,,,,,,,,,,,,,,
2022-02-17,,,,,,,,,,,,,,,
2022-02-18,,,,,,,,,,,,,,,
2022-02-19,,,,,,,,,,,,,,,
2022-02-20,,,,,,,,,,,,,,,
2022-02-21,,,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,,,,,,
2022-02-23,,,,,,,,,,,,,,,
2022-02-24,,,,,,,,,,,,,,,
2022-02-25,,,,,,,,,,,,,,,
2022-02-26,,,,,,,,,,,,,,,
2022-02-27,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,
2022-03-01,,,,,,,,,,,,,,,
2022-03-02,,,,,,,,,,,,,,,
2022-03-03,,,,,,,,,,,,,,,
2022-03-04,,,,,,,,,,,,,,,
2022-03-05,,,,,,,,,,,,,,,
2022-03-06,,,,,,,,,,,,,,,
2022-03-07,,,,,,,,,,,,,,,
2022-03-08,,,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,,,,
2022-03-10,,,,,,,,,,,,,,,
2022-03-11,,,,,,,,,,,,,,,
2022-03-12,,,,,,,,,,,,,,,
2022-03-13,,,,,,,,,,,,,,,
2022-03-14,,,,,,,,,,,,,,,
2022-03-15,,,,,,,,,,,,,,,
2022-03-16,,,,,,,,,,,,,,,
2022-03-17,,,,,,0.18351434600935315,0.0,0.06943032589200995,0.0,0.06784261363724729,0.0,0.2160088926370357,0.0,0.18351434600935312,0.0
2022-03-18,0.041454603762327784,-0.0036680816319535287,-0.004322551381146745,0.06012205756943323,0.04145460376232777,0.1536655566393919,0.0,0.07085669227306779,0.0,0.07047601214925484,0.0,0.17340295688143423,0.0,0.15366555663939188,0.0
2022-03-19,0.05721596258899042,0.029510495552440997,0.03031596078546351,0.06513031015157174,0.05721596258899042,0.09997635473777056,0.0,0.02699610263308947,0.0,0.02575846008139876,0.0,0.11437134570828923,0.0,0.09997635473777057,0.0
2022-03-20,0.010237259214376366,0.003096690242825672,0.003330749646917146,0.011492044120433129,0.010237259214376368,0.09875646162590303,0.0,0.03299731336786444,0.0,0.031574872659718686,0.0,0.11217511035868076,0.0,0.09875646162590303,0.0
2022-03-21,-0.011118607954577949,-0.014130338540481794,-0.01424386845447314,-0.010601439006224901,-0.011118607954577949,0.14651943328053577,0.0,0.07115690923655313,0.0,0.07030342157930655,0.0,0.162731953164925,0.0,0.14651943328053577,0.0
2022-03-22,0.03330641492302163,0.03386125639342777,0.03215185350123252,0.030992063253851343,0.03330641492302163,0.13312069462714093,0.0,0.04814670869212031,0.0,0.04945265124553781,0.0,0.15591994099791134,0.0,0.13312069462714093,0.0
2022-03-23,0.032662424407957365,0.013433155869339224,0.013097003954632144,0.034337948853638944,0.032662424407957365,0.12983362558504372,0.0,0.05621865208425337,0.0,0.05782000469536827,0.0,0.15351730791910057,0.0,0.1298336255850437,0.0
2022-03-24,0.019756289067257533,0.00732714800641162,0.0075134655846218635,0.02453590769433223,0.01975628906725753,0.12588610716010226,0.0,0.05515359379771121,0.0,0.05634395013902328,0.0,0.1453940206055443,0.0,0.12588610716010226,0.0
2022-03-25,0.01160581439236655,-0.0022417152508957,-0.0016891528691392003,0.01751612181383174,0.011605814392366548,0.0864756589549664,0.0,0.010125053639875564,0.0,0.0081421619471084,0.0,0.09747688491220913,0.0,0.08647565895496641,0.0
2022-03-26,0.003526760687369066,-0.014350094087537318,-0.01440159128239258,0.006098698978426758,0.003526760687369067,0.12922588203381546,0.0,0.05943162258582326,0.0,0.05800887152529023,0.0,0.1417970313527591,0.0,0.12922588203381546,0.0
2022-03-27,0.009017366102508834,0.009097900977600638,0.009147162225237069,0.00929580877082464,0.009017366102508834,0.12635592873981955,0.0,0.05585540363174755,0.0,0.05362727187371347,0.0,0.1407538310575623,0.0,0.12635592873981955,0.0
2022-03-28,0.0366443637000548,0.024029257328206897,0.02448468046511474,0.03995540380001936,0.0366443637000548,0.10314956144516448,0.0,0.03637060626746619,0.0,0.03408081291647087,0.0,0.11522044752612706,0.0,0.10314956144516448,0.0
2022-03-29,0.019907676269626785,0.010851055848994949,0.011301083167463775,0.02418005108683767,0.019907676269626782,0.08565909796256303,0.0,0.030585740226405995,0.0,0.02738557675312409,0.0,0.09412137636402416,0.0,0.08565909796256303,0.0
2022-03-30,0.02937535536586015,0.02150509926147228,0.021464357404462606,0.03193531577482815,0.02937535536586015,0.03794646399755755,0.0,-0.013468338178905066,0.0,-0.016756943134322987,0.0,0.04289704096373145,0.0,0.03794646399755755,0.0
2022-03-31,0.015808770642316065,0.006262089719869461,0.006037411028276873,0.01641262038077598,0.015808770642316068,-0.011081330161661889,0.0,-0.05102991494725669,0.0,-0.05343093803188158,1.0,-0.009477415330516013,0.0,-0.011081330161661896,0.0
2022-04-01,-0.027804633812769302,-0.047270255408731345,-0.04989094106105409,-0.030401013879503412,-0.027804633812769302,0.039299104066724086,0.0,0.005687122097981138,0.0,0.006887196924317053,0.0,0.04602070795780204,0.0,0.03929910406672407,0.0
2022-04-02,0.04627698376621814,0.034956474858410386,0.035465118295789244,0.05041884541897671,0.04627698376621813,-0.022317124599882898,0.0,-0.04453798948711413,0.0,-0.04374957892865565,0.0,-0.020426766609177565,0.0,-0.022317124599882898,0.0
2022-04-03,0.006147412808512917,0.00552168202352492,0.004765562573660315,0.008252608475627853,0.006147412808512917,-0.0018734095081686455,0.0,-0.0380043111110123,0.0,-0.03638844710179433,0.0,0.00031608083867514306,0.0,-0.0018734095081686455,0.0
2022-04-04,0.013437996405399734,0.0045444599639255364,0.004938221507872143,0.01442202026858411,0.013437996405399734,-0.01858999519871217,0.0,-0.05197193653251877,1.0,-0.05106919916083067,0.0,-0.01713773299297408,0.0,-0.01858999519871217,0.0
2022-04-05,0.0024172127870253327,0.005066189807934757,0.004605847004116995,0.00308097992473477,0.0024172127870253327,-0.07175814133823963,1.0,-0.10579158514166527,1.0,-0.10470920571080224,1.0,-0.07229436692222849,1.0,-0.07175814133823963,1.0
2022-04-06,-0.018337278599145333,-0.02254897914383878,-0.02267816248298447,-0.01928901962546456,-0.018337278599145333,-0.037580305480849625,0.0,-0.07511939546090166,1.0,-0.07395599617222887,1.0,-0.036450844756154066,0.0,-0.037580305480849625,0.0
2022-04-07,-0.03321902351690338,-0.031299487048482164,-0.030636583869281715,-0.035961835913471484,-0.03321902351690338,0.017054332886842986,0.0,-0.024796645265920843,0.0,-0.024545428586077157,0.0,0.022460729835513518,0.0,0.017054332886842983,0.0
2022-04-08,0.02257580041561667,0.009446781636506483,0.010427193895144545,0.025097109408814634,0.02257580041561667,-0.019681422030063,0.0,-0.05888641769117055,1.0,-0.05959742602483449,1.0,-0.01707431986268751,0.0,-0.019681422030063005,0.0
2022-04-09,-0.015339244900388835,-0.015268636726684876,-0.015171657557183454,-0.01602862914800289,-0.015339244900388835,0.0032539925385047007,0.0,-0.03947171192097839,0.0,-0.040334967864910726,0.0,0.008494582136144813,0.0,0.0032539925385046973,0.0
2022-04-10,0.026591127900227166,0.012055360399626744,0.01212669440052164,0.028995455923480563,0.026591127900227166,-0.016492953548610596,0.0,-0.04501817661809471,0.0,-0.04627964062290469,0.0,-0.013672149112756087,0.0,-0.0164929535486106,0.0
2022-04-11,-0.003278589285143784,-0.00942316545758093,-0.009742530551164206,-0.00303179356306511,-0.003278589285143784,-0.02267333769174143,0.0,-0.050755630045014904,0.0,-0.052159948804891915,1.0,-0.02006205584974707,0.0,-0.022673337691741433,0.0
2022-04-12,-0.050750933352502144,-0.04875345880121174,-0.04903415954585457,-0.05207565400451964,-0.050750933352502144,0.06057425441613054,0.0,0.03217428232816115,0.0,0.030867635264343114,0.0,0.06787025521253107,0.0,0.06057425441613054,0.0
2022-04-13,0.01584055725824468,0.008123210536924837,0.008075047055588893,0.01655450254060986,0.01584055725824468,0.10885899836726448,0.0,0.03170302237527481,0.0,0.030050907753951524,0.0,0.12678001229905161,0.0,0.10885899836726447,0.0
2022-04-14,0.021415614850789234,0.01902326314649864,0.01877398371687,0.0229497386781961,0.02141561485078923,0.1438214999295614,0.0,0.010908582655450326,0.0,0.009698791352580829,0.0,0.17234553920970047,0.0,0.14382149992956142,0.0
2022-04-15,-0.014159954501289318,-0.024642990788743227,-0.024624803543612794,-0.014437940289386391,-0.014159954501289318,0.15949705673014689,0.0,0.014044103913689536,0.0,0.013456212055225906,0.0,0.19259304139059966,0.0,0.1594970567301469,0.0
2022-04-16,0.007596169668178867,0.004146069043507289,0.004090800602740311,0.00954027285082943,0.007596169668178867,0.1612466364423815,0.0,0.010449069768769217,0.0,0.010487101605868977,0.0,0.1959610794239251,0.0,0.16124663644238152,0.0
2022-04-17,0.006844181813111866,0.0065088957025104185,0.006182021642527675,0.006828724674579661,0.006844181813111867,0.15307455159142938,0.0,-0.003900608593564985,0.0,-0.0031464802641361046,0.0,0.18840958833618365,0.0,0.1530745515914294,0.0
